Training Levels:,Resources/level/trainlevels/lvl-1,,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
487,70.454445,10.546286,0
488,70.454445,12.530746,0
489,70.454445,10.234391,0
490,70.454445,12.573998,0
491,70.454445,14.524149,0
492,70.454445,14.727171,0
493,70.454445,13.762984,0
494,70.454445,9.784069,0
495,70.454445,11.690947,0
496,70.454445,10.362478,0
497,70.454445,11.746654,0
498,70.454445,14.110276,0
499,70.454445,8.844081,0
500,70.454445,9.359188,0
501,70.454445,8.35227,0
502,70.447235,8.582968,0
503,70.454445,10.839352,0
504,70.454445,11.256704,0
505,70.454445,8.00739,0
506,70.454445,9.79857,0
507,70.454445,12.240045,0
508,70.454445,12.421908,0
509,70.454445,12.20399,0
510,70.454445,12.101957,0
511,70.454445,12.545094,0
512,70.454445,12.731639,0
513,70.454445,11.64955,0
514,70.454445,9.378451,0
515,70.454445,10.749559,0
516,70.454445,12.641464,0
517,70.454445,10.238261,0
518,70.454445,13.201957,0
519,70.454445,8.967305,0
520,70.454445,12.485127,0
521,70.454445,13.262277,0
522,70.454445,11.93098,0
523,70.452133,7.397911,0
524,70.452133,13.385289,0
525,70.452133,13.367799,0
526,70.454445,17.932312,0
527,70.454445,15.221907,0
528,70.454445,10.007328,0
529,70.454445,13.422277,0
530,70.454445,12.725784,0
531,70.454445,11.863855,0
532,70.454445,14.185643,0
533,70.454445,17.825808,0
534,70.454445,12.175465,0
535,70.454445,15.093194,0
536,70.454445,12.368107,0
537,70.454445,17.58683,0
538,70.454445,11.818039,0
539,70.454445,12.489183,0
540,70.454445,11.377741,0
541,70.454445,12.661805,0
542,70.454445,12.182086,0
543,70.454445,19.117546,0
544,70.454445,11.240417,0
545,70.454445,14.667715,0
546,70.454445,12.492655,0
547,70.454445,16.830879,0
548,70.454445,14.553188,0
549,70.454445,13.919724,0
550,70.454445,12.031432,0
551,70.454445,12.144786,0
552,70.454445,13.012664,0
553,70.454445,14.242239,0
554,70.454445,14.643348,0
555,70.454445,14.4131,0
556,70.454445,15.066801,0
557,70.454445,16.545448,0
558,70.454445,15.438853,0
559,70.454445,13.149716,0
560,70.454445,10.560174,0
561,70.454445,13.033298,0
562,70.454445,12.011409,0
563,70.454445,12.86954,0
564,70.454445,14.434388,0
565,70.454445,14.276679,0
566,70.454445,13.208913,0
567,70.454445,10.820791,0
568,70.454445,13.143064,0
569,70.454445,15.130115,0
570,70.454445,12.987399,0
571,70.454445,14.005468,0
572,70.454445,12.062048,0
573,70.454445,13.457667,0
574,70.454445,11.706654,0
575,70.454445,11.363277,0
576,70.454445,11.974175,0
577,70.454445,12.649656,0
578,70.454445,10.256818,0
579,70.454445,13.929068,0
580,70.454445,15.983733,0
581,70.454445,12.808187,0
582,70.454445,16.634401,0
583,70.454445,12.772678,0
584,70.454445,13.071415,0
585,70.454445,11.787412,0
586,70.454445,12.266658,0
587,70.454445,16.708096,0
588,70.454445,16.04014,0
589,70.454445,12.954537,0
590,70.454445,13.697285,0
591,70.454445,11.785678,0
592,70.454445,12.783337,0
593,70.454445,12.003931,0
594,70.454445,12.612513,0
595,70.454445,10.821441,0
596,70.454445,14.083867,0
597,70.454445,15.80447,0
598,70.454445,12.13732,0
599,70.454445,9.585379,0
600,70.454445,12.350514,0
601,70.454445,14.270688,0
602,70.454445,12.697764,0
603,70.447235,11.864568,0
604,70.454445,9.72545,0
605,70.454445,9.437352,0
606,70.454445,8.994388,0
607,70.454445,10.993696,0
608,70.454445,13.680522,0
609,70.454445,11.858403,0
610,70.454445,12.230982,0
611,70.454445,10.89798,0
612,70.454445,14.9474,0
613,70.454445,14.115208,0
614,70.454445,11.446094,0
615,70.454445,9.674145,0
616,70.454445,10.896831,0
617,70.454445,10.36177,0
618,70.454445,11.727191,0
619,70.454445,7.812844,0
620,70.454445,12.681305,0
621,70.454445,13.702837,0
622,70.454445,12.015682,0
623,70.454445,12.755726,0
624,70.454445,14.235321,0
625,70.454445,13.669103,0
626,70.454445,15.816051,0
627,70.454445,16.728609,0
628,70.454445,13.422928,0
629,70.454445,14.667432,0
630,70.454445,12.937661,0
631,70.454445,9.277204,0
632,70.454445,11.34624,0
633,70.454445,15.083675,0
634,70.454445,14.415698,0
635,70.454445,12.955529,0
636,70.454445,12.597196,0
637,70.454445,11.89918,0
638,70.454445,11.233886,0
639,70.454445,9.375986,0
640,70.454445,11.068667,0
641,70.454445,9.930417,0
642,70.454445,12.944927,0
643,70.454445,11.201871,0
644,70.454445,14.391376,0
645,70.454445,12.909768,0
646,70.454445,16.441614,0
647,70.454445,17.784145,0
648,70.454445,13.733169,0
649,70.454445,13.871775,0
650,70.454445,15.750818,0
651,70.454445,13.630992,0
652,70.454445,11.72208,0
653,70.454445,8.156574,0
654,70.454445,13.541311,0
655,70.454445,15.550679,0
656,70.454445,15.836839,0
657,70.454445,12.106605,0
658,70.454445,11.223714,0
659,70.454445,14.090918,0
660,70.454445,13.803173,0
661,70.454445,14.947027,0
662,70.454445,15.651318,0
663,70.454445,12.261462,0
664,70.454445,14.813627,0
665,70.454445,12.013401,0
666,70.454445,13.166767,0
667,70.454445,10.586407,0
668,70.454445,10.019328,0
669,70.454445,11.491503,0
670,70.454445,12.255819,0
671,70.454445,13.392727,0
672,70.454445,11.861506,0
673,70.454445,10.351917,0
674,70.454445,9.449787,0
675,70.454445,13.63405,0
676,70.454445,11.195927,0
677,70.454445,11.079071,0
678,70.454445,16.330242,0
679,70.454445,15.282408,0
680,70.454445,13.296644,0
681,70.454445,12.541118,0
682,70.454445,13.189301,0
683,70.454445,13.090392,0
684,70.454445,14.296056,0
685,70.454445,13.517022,0
686,70.454445,14.384783,0
687,70.454445,13.554523,0
688,70.454445,15.188149,0
689,70.454445,13.857312,0
690,70.454445,15.656233,0
691,70.454445,14.742792,0
692,70.454445,12.606278,0
693,70.454445,10.351225,0
694,70.454445,12.874219,0
695,70.454445,11.431527,0
696,70.454445,12.875949,0
697,70.454445,12.181239,0
