Training Levels:,Resources/level/trainlevels/lvl-4,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
432 , 88.636276 , 30.789482 , 0
433 , 88.636276 , 34.436874 , 0
434 , 88.636276 , 30.938593 , 0
435 , 88.636276 , 27.444630 , 0
436 , 88.636276 , 29.669056 , 0
437 , 88.636276 , 32.591747 , 0
438 , 88.636276 , 32.415901 , 0
439 , 88.636276 , 24.720381 , 0
440 , 88.636276 , 30.874968 , 0
441 , 88.636276 , 34.512142 , 0
442 , 88.622162 , 23.712776 , 0
443 , 88.635353 , 30.260483 , 0
444 , 88.635353 , 32.325943 , 0
445 , 88.635353 , 31.510260 , 0
446 , 88.635689 , 42.399799 , 0
447 , 88.635689 , 29.752996 , 0
448 , 88.635689 , 24.666712 , 0
449 , 88.635689 , 34.020966 , 0
450 , 88.635689 , 28.863728 , 0
451 , 88.635689 , 29.790672 , 0
452 , 88.635689 , 33.453445 , 0
453 , 88.635689 , 25.853371 , 0
454 , 88.635689 , 28.471436 , 0
455 , 88.635689 , 26.492664 , 0
456 , 88.635689 , 30.507793 , 0
457 , 88.635689 , 32.128262 , 0
458 , 88.635689 , 27.022573 , 0
459 , 88.635689 , 28.866117 , 0
460 , 88.635689 , 27.206593 , 0
461 , 88.635689 , 23.154724 , 0
462 , 88.635689 , 25.250364 , 0
463 , 88.635689 , 23.653687 , 0
464 , 88.635689 , 26.399321 , 0
465 , 88.635689 , 31.643831 , 0
466 , 88.635689 , 25.391796 , 0
467 , 88.635689 , 26.918547 , 0
468 , 88.635689 , 30.402641 , 0
469 , 88.635689 , 29.618992 , 0
470 , 88.635689 , 24.027700 , 0
471 , 88.635689 , 22.675545 , 0
472 , 88.635689 , 20.688169 , 0
473 , 88.635689 , 33.779850 , 0
474 , 88.635689 , 25.520821 , 0
475 , 88.635689 , 30.057487 , 0
476 , 88.635689 , 27.950232 , 0
477 , 88.635689 , 27.714417 , 0
478 , 88.635689 , 25.562471 , 0
479 , 88.635689 , 27.975262 , 0
480 , 88.635689 , 27.429115 , 0
481 , 88.635689 , 24.876638 , 0
482 , 88.635689 , 28.332956 , 0
483 , 88.635689 , 24.175503 , 0
484 , 88.635689 , 27.809507 , 0
485 , 88.635689 , 28.110064 , 0
486 , 88.635689 , 23.238317 , 0
487 , 88.635689 , 29.162006 , 0
488 , 88.635689 , 28.296206 , 0
489 , 88.635689 , 26.564199 , 0
490 , 88.635689 , 27.884638 , 0
491 , 88.635689 , 29.902031 , 0
492 , 88.635689 , 28.724459 , 0
493 , 88.635689 , 25.563156 , 0
494 , 88.635689 , 24.405432 , 0
495 , 88.635689 , 26.454014 , 0
496 , 88.635689 , 27.005590 , 0
497 , 88.635689 , 33.160160 , 0
498 , 88.635689 , 26.507307 , 0
499 , 88.635689 , 31.731003 , 0
500 , 88.635689 , 28.810076 , 0
501 , 88.635689 , 27.423735 , 0
502 , 88.635689 , 27.305742 , 0
503 , 88.635689 , 26.915205 , 0
504 , 88.635689 , 24.349285 , 0
505 , 88.635689 , 28.032871 , 0
506 , 88.635689 , 23.713463 , 0
507 , 88.635689 , 22.830944 , 0
508 , 88.635689 , 22.722492 , 0
509 , 88.635689 , 24.815935 , 0
510 , 88.635689 , 23.434458 , 0
511 , 88.635689 , 28.972916 , 0
512 , 88.635689 , 31.558155 , 0
513 , 88.635689 , 30.237469 , 0
514 , 88.635689 , 25.336365 , 0
515 , 88.635689 , 36.463680 , 0
516 , 88.635689 , 29.787649 , 0
517 , 88.635689 , 21.125877 , 0
518 , 88.635689 , 26.143547 , 0
519 , 88.635689 , 29.950752 , 0
